cik,accession_nr,filing_date
1318757,131875724000008,2024-08-14
1318757,131875724000018,2024-11-14
1318757,131875725000023,2025-05-15
1318757,204804725000005,2025-02-13
1345929,108514624001989,2024-04-24
1345929,108514624003952,2024-08-14
1345929,108514624005669,2024-11-13
1345929,108514625001491,2025-02-14
1345929,108514625002448,2025-04-30
1348883,134888324000012,2024-05-13
1348883,134888324000015,2024-08-27
1348883,134888324000021,2024-11-12
1348883,134888325000002,2025-02-12
1348883,134888325000011,2025-05-13
1373442,158064224002730,2024-05-15
1373442,158064224004507,2024-08-13
1373442,158064224006919,2024-11-13
1373442,158064225000997,2025-02-13
1373442,158064225003135,2025-05-15
1386060,108514624002674,2024-05-28
1386060,108514624003830,2024-08-14
1386060,108514624005518,2024-11-12
1386060,108514625000961,2025-02-11
1386060,108514625002987,2025-05-13
1418333,95012324004999,2024-05-14
1418333,95012324007553,2024-08-09
1418333,95012324011618,2024-11-14
1418333,95012325002200,2025-02-14
1418333,95012325005501,2025-05-15
1418773,108514624003163,2024-07-23
1418773,108514624005220,2024-10-29
1418773,108514625000410,2025-01-23
1418773,108514625002276,2025-04-23
1418773,108514625003972,2025-07-18
1445893,144589324000005,2024-05-15
1445893,144589324000006,2024-08-09
1445893,144589324000009,2024-11-15
1445893,144589325000001,2025-02-19
1445893,144589325000003,2025-05-16
1452861,145286124000003,2024-04-12
1452861,145286124000004,2024-07-15
1452861,145286124000005,2024-10-25
1452861,145286125000001,2025-01-27
1452861,145286125000002,2025-04-14
1452861,145286125000005,2025-07-22
1454984,145498424000005,2024-05-14
1454984,145498424000007,2024-08-13
1454984,145498424000012,2024-11-14
1454984,145498425000004,2025-02-14
1454984,145498425000007,2025-05-14
1456228,145622824000003,2024-06-04
1456228,145622824000004,2024-08-08
1456228,145622824000006,2024-10-24
1456228,145622825000001,2025-01-29
1456228,145622825000002,2025-04-30
1456228,145622825000006,2025-07-30
1462245,108514624002263,2024-05-06
1462245,108514624003763,2024-08-13
1462245,108514624005775,2024-11-14
1462245,108514625000911,2025-02-07
1462245,108514625002999,2025-05-13
1465109,141588924026822,2024-11-14
1465109,141588924026825,2024-11-14
1465109,141588924026827,2024-11-14
1465109,141588925003860,2025-02-13
1465109,141588925012711,2025-05-13
1466153,95012324004496,2024-05-13
1466153,95012324007755,2024-08-12
1466153,95012324010870,2024-11-12
1466153,95012325001671,2025-02-12
1466153,95012325005057,2025-05-14
1466546,95012324004136,2024-05-09
1466546,95012324007941,2024-08-13
